"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Ddx6","Ddx6","Ddx6","DDX6","DEAD-box helicase 6","9","org.Mm.eg.db","Ddx6","O54979;P54823;Q3UFI3;Q8BW68"
"Sat1","Sat1","Sat1;Slc26a1","SAT1","spermidine/spermine N1-acetyl transferase 1; solute carrier family 26 (sulfate transporter), member 1","X;5","org.Mm.eg.db","Sat1","A2BES2;P48026;Q3U444;Q3V2Q2;G5E8U1;Q8R4W9;P58735;Q3UPH6;Q80WF6"
"2300002G24Rik","2300002G24Rik","Crct1","CRCT1","cysteine-rich C-terminal 1","3","org.Mm.eg.db","2300002G24Rik","Q6PAI5"
"C630011I23","C630011I23","Secisbp2l","SECISBP2L","SECIS binding protein 2-like","2","org.Mm.eg.db","C630011I23","A2AQE2;Q6A098"
"C030046I01Rik","C030046I01Rik","R3hdm4","R3HDM4","R3H domain containing 4","10","org.Mm.eg.db","C030046I01Rik","B2RRK4;Q4VBF2;Q8BJN1;Q8CGD7;Q8JZZ8"
"2610204L23Rik","2610204L23Rik","Ccdc47","CCDC47","coiled-coil domain containing 47","11","org.Mm.eg.db","2610204L23Rik","B1AR94;Q0VBU4;Q3TSB5;Q3V1S7;Q8C5D9;Q920S6;Q9D024"
"Zik1","Zik1","Zik1","ZIK1","zinc finger protein interacting with K protein 1","7","org.Mm.eg.db","Zik1","P70405;Q80YP6"
"2810468K05Rik","2810468K05Rik","Taok1","TAOK1","TAO kinase 1","11","org.Mm.eg.db","2810468K05Rik","B2RX66;Q5F2E8;Q69ZL2;Q8JZX2;Q91VG7"
"Lnx2","Lnx2","Lnx2","LNX2","ligand of numb-protein X 2","5","org.Mm.eg.db","Lnx2","A6PW04;Q0VGP5;Q148W6;Q8CBE1;Q91XL2"
"Tax1bp3","Tax1bp3","Tax1bp3","TAX1BP3","Tax1 (human T cell leukemia virus type I) binding protein 3","11","org.Mm.eg.db","Tax1bp3","Q9DBG9"
"Antxr1","Antxr1","Antxr1","ANTXR1","anthrax toxin receptor 1","6","org.Mm.eg.db","Antxr1","A0A0N4SV16;Q505H2;Q9CZ52"
"Gt(ROSA)26Sor","Gt(ROSA)26Sor","Gt(ROSA)26Sor","THUMPD3-AS1","gene trap ROSA 26, Philippe Soriano","6","org.Mm.eg.db","Gt(ROSA)26Sor",NA
"4921506M07Rik","4921506M07Rik","Ttc6","TTC6","tetratricopeptide repeat domain 6","12","org.Mm.eg.db","4921506M07Rik","G3UYY4"
"2700050F09Rik","2700050F09Rik","Pan3","PAN3","PAN3 poly(A) specific ribonuclease subunit","5","org.Mm.eg.db","2700050F09Rik","H3BJH6;H3BKF3;Q3U5F2;Q640Q5;Q8CE75;Q9CZM6;H3BLB9"
"Rad23a","Rad23a","Rad23a","RAD23A","RAD23 homolog A, nucleotide excision repair protein","8","org.Mm.eg.db","Rad23a","B7ZNQ1;P54726;Q3TN85;Q8BRA9;Q8CAP3"
"Slc35a5","Slc35a5","Slc35a5","SLC35A5","solute carrier family 35, member A5","16","org.Mm.eg.db","Slc35a5","Q921R7;Q9DC72"
"Map3k8","Map3k8","Map3k8","MAP3K8","mitogen-activated protein kinase kinase kinase 8","18","org.Mm.eg.db","Map3k8","Q07174;Q3U086;Q3UEB8"
"Adrbk1","Adrbk1","Grk2","GRK2","G protein-coupled receptor kinase 2","19","org.Mm.eg.db","Adrbk1","Q3U1V3;Q99LL8;Q99MK8;Q7TS64"
"Slc25a15","Slc25a15","Slc25a15","SLC25A15","solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15","8","org.Mm.eg.db","Slc25a15","Q543E2;Q9WVD5"
"E130201H02Rik","E130201H02Rik","E130201H02Rik","","Y box protein 1 pseudogene","7","org.Mm.eg.db","E130201H02Rik",NA
"Dusp10","Dusp10","Dusp10","DUSP10","dual specificity phosphatase 10","1","org.Mm.eg.db","Dusp10","Q8R3L3;Q9CZY9;Q9ESS0"
"Rps8","Rps8","Rps8","RPS8","ribosomal protein S8","4","org.Mm.eg.db","Rps8","P62242;Q497E9;Q5M9L9;Q8C2G6"
"2310031L18Rik","2310031L18Rik","Zwilch","ZWILCH","zwilch kinetochore protein","9","org.Mm.eg.db","2310031L18Rik","H3BKZ0;G3X9Z0;Q8R060;Q9D2E4;Q9D761"
"Bnip3","Bnip3","Bnip3","BNIP3","BCL2/adenovirus E1B interacting protein 3","7","org.Mm.eg.db","Bnip3","A0A1B0GT26;O55003;Q544Y4"
"Ndfip2","Ndfip2","Ndfip2","NDFIP2","Nedd4 family interacting protein 2","14","org.Mm.eg.db","Ndfip2","F6RT43;M0QWK1;Q5DTZ9;Q6IR02;Q8BVC5;Q91ZP6"
"Rbl1","Rbl1","Rbl1","RBL1","RB transcriptional corepressor like 1","2","org.Mm.eg.db","Rbl1","Q8CCD4;Q3U1D4;Q64701;Q6PAR4;Q6NTA5"
"Slc5a11","Slc5a11","Slc5a11","SLC5A11","solute carrier family 5 (sodium/glucose cotransporter), member 11","7","org.Mm.eg.db","Slc5a11","Q6EZ51;Q8K0E3"
"Khk","Khk","Khk","KHK","ketohexokinase","5","org.Mm.eg.db","Khk","E9Q1Q9;P97328;Q91WU8;A0A0J9YUK6;A0A0J9YU79"
"Klc2","Klc2","Klc2","KLC2","kinesin light chain 2","19","org.Mm.eg.db","Klc2","D3YXZ3;Q91YS4"
"Tomm34","Tomm34","Tomm34","TOMM34","translocase of outer mitochondrial membrane 34","2","org.Mm.eg.db","Tomm34","A2A5N5;A2A5N6;Q3THD0;Q812F1;Q812F2;Q9CYG7;Q9D059"
"Anln","Anln","Anln","ANLN","anillin, actin binding protein","9","org.Mm.eg.db","Anln","Q8BL79;Q8BLB3;Q8K298;Q8K2N0;Q9CUY0"
"Ppm1l","Ppm1l","Ppm1l","PPM1L","protein phosphatase 1 (formerly 2C)-like","3","org.Mm.eg.db","Ppm1l","Q3UGL2;Q810H0;Q8BHN0;Q8C021;Q8C1D5;Q9Z0T1"
"2010321J07Rik","2010321J07Rik","Ugt2a3","UGT2A3","UDP glucuronosyltransferase 2 family, polypeptide A3","5","org.Mm.eg.db","2010321J07Rik","Q8BWQ1;Q8R129;Q9D811"
"Csf3r","Csf3r","Csf3r","CSF3R","colony stimulating factor 3 receptor","4","org.Mm.eg.db","Csf3r","Q14BI3;A2A8Y3;P40223;Q14AY3"
"9430025M21Rik","9430025M21Rik","Raph1","RAPH1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1","1","org.Mm.eg.db","9430025M21Rik","F2Z3U3;F2Z4B7;G5E867"
"A430065P05Rik","A430065P05Rik","Duox2","DUOX2","dual oxidase 2","2","org.Mm.eg.db","A430065P05Rik","A0A494BAW1;B7ZWM4"
"1300018L09Rik","1300018L09Rik","Dhdh","DHDH","dihydrodiol dehydrogenase","7","org.Mm.eg.db","1300018L09Rik","Q14B09;Q8K0E9;Q9DBB8"
"2610528M18Rik","2610528M18Rik","Cenpq","CENPQ","centromere protein Q","17","org.Mm.eg.db","2610528M18Rik","A0A1I7Q4A6;Q8C2G4;Q8VEF8;Q9CPQ5;Q9CX70"
"Fath","Fath","Fat1","FAT1","FAT atypical cadherin 1","8","org.Mm.eg.db","Fath","F2Z4A3;Q9QXA3;A0A1L1SQU7;A0A087WRT4"
"Tmlhe","Tmlhe","Tmlhe","TMLHE","trimethyllysine hydroxylase, epsilon","X_GL456233v2_random","org.Mm.eg.db","Tmlhe","Q3TSX6;Q3UMX1;Q91XH1;Q91ZE0"
"Mpeg1","Mpeg1","Mpeg1","MPEG1","macrophage expressed gene 1","19","org.Mm.eg.db","Mpeg1","A0AAQ4VMR7;E9QN37;A1L314"
"Kcnj8","Kcnj8","Kcnj8","KCNJ8","potassium inwardly-rectifying channel, subfamily J, member 8","6","org.Mm.eg.db","Kcnj8","P97794;Q3U118;A0A0J9YMM3"
"Ap3s1","Ap3s1","Ap3s1","AP3S1","adaptor-related protein complex 3, sigma 1 subunit","18","org.Mm.eg.db","Ap3s1","A0A286YDU3;O88670;Q3U8S0;Q9DCR2"
"Nab2","Nab2","Nab2","NAB2","Ngfi-A binding protein 2","10","org.Mm.eg.db","Nab2","Q3TBL2;Q3TYF1;Q61127;Q80VR9"
"Rcl1","Rcl1","Rcl1","RCL1","RNA terminal phosphate cyclase-like 1","19","org.Mm.eg.db","Rcl1","Q3THS8;Q9JJT0"
"Mbd1","Mbd1","Mbd1","MBD1","methyl-CpG binding domain protein 1","18","org.Mm.eg.db","Mbd1","Q3TMA4;Q3U101;Q6NSW0;Q792D6;Q8CCL9;Q9DC19;Q9Z2E2;A0A286YCP6;A0A286YDI1;A0A5F8MPN9;A0A0R4J159"
"AA407452","AA407452","","",NA,NA,"org.Mm.eg.db","AA407452",NA
"Hist1h1b","Hist1h1b","H1f5","H1-5","H1.5 linker histone, cluster member","13","org.Mm.eg.db","Hist1h1b","P43276;Q1WWK3;Q9CRM8"
"Zic2","Zic2","Zic2","ZIC2","zinc finger protein of the cerebellum 2","14","org.Mm.eg.db","Zic2","F8VPV3;Q62520"
"Large","Large","Large1","LARGE1","LARGE xylosyl- and glucuronyltransferase 1","8","org.Mm.eg.db","Large","D9IG22;Q059X9;Q497S9;Q6P7U2;Q80TW0;Q9Z1M7"
"Proz","Proz","Proz","PROZ","protein Z, vitamin K-dependent plasma glycoprotein","8","org.Mm.eg.db","Proz","Q8CI01;Q05CL2;Q9CQW3"
"AI450540","AI450540","","",NA,NA,"org.Mm.eg.db","AI450540",NA
"Sema6c","Sema6c","Sema6c","SEMA6C","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C","3","org.Mm.eg.db","Sema6c","E9Q613;Q91Y36;Q9WTM3;Q6ZPG8"
"3110035E14Rik","3110035E14Rik","Vxn","VXN","vexin","1","org.Mm.eg.db","3110035E14Rik","Q8BG31"
"Osbpl7","Osbpl7","Osbpl7","OSBPL7","oxysterol binding protein-like 7","11","org.Mm.eg.db","Osbpl7","A2A716;Q3TAX1"
"0610009B22Rik","0610009B22Rik","Trappc2b","TRAPPC2B","trafficking protein particle complex 2B","11","org.Mm.eg.db","0610009B22Rik","Q8R3W2"
"Rps6ka4","Rps6ka4","Rps6ka4","RPS6KA4","ribosomal protein S6 kinase, polypeptide 4","19","org.Mm.eg.db","Rps6ka4","Q3U3M8;Q91X18;Q9Z2B9"
"2410030K01Rik","2410030K01Rik","Spc24","SPC24","SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)","9","org.Mm.eg.db","2410030K01Rik","A0A1L1SV84;Q14BA9;Q3TIF5;Q8CD13;Q9D083"
"Rcn","Rcn","Rcn1","RCN1","reticulocalbin 1","2","org.Mm.eg.db","Rcn","Q05186;Q3TVU3"
"AW112010","AW112010","AW112010","","expressed sequence AW112010","19","org.Mm.eg.db","AW112010",NA
"Taf13","Taf13","Taf13","TAF13","TATA-box binding protein associated factor 13","3","org.Mm.eg.db","Taf13","P61216;Q3TVE8"
"Mlp","Mlp","Csrp3","CSRP3","cysteine and glycine-rich protein 3","7","org.Mm.eg.db","Mlp","P50462;Q545C7"
"Fndc3","Fndc3","Fndc3a","FNDC3A","fibronectin type III domain containing 3A","14","org.Mm.eg.db","Fndc3","F6TLV3;Q2VEY7;Q3T9K5;Q6ZQ15;Q811D3;Q8BME4;Q8BTM3;Q8BX90"
"Sbk","Sbk","Sbk1","SBK1","SH3-binding kinase 1","7","org.Mm.eg.db","Sbk","A0A0B6VRD5;Q8QZX0"
"9330129D05Rik","9330129D05Rik","Acad12","ACAD10","acyl-Coenzyme A dehydrogenase family, member 12","5","org.Mm.eg.db","9330129D05Rik","D3Z7X0"
"Kctd11","Kctd11","Kctd11","KCTD11","potassium channel tetramerisation domain containing 11","11","org.Mm.eg.db","Kctd11","A0A5K1VVR8;Q8K485"
"Egln1","Egln1","Egln1","EGLN1","egl-9 family hypoxia-inducible factor 1","8","org.Mm.eg.db","Egln1","Q8VHJ2;Q91YE3;Q922P3"
"C230081A13Rik","C230081A13Rik","Peak1","PEAK1","pseudopodium-enriched atypical kinase 1","9","org.Mm.eg.db","C230081A13Rik","E9QKY2;Q69Z38;Q8BX56;Q8R365"
"Itga8","Itga8","Itga8","ITGA8","integrin alpha 8","2","org.Mm.eg.db","Itga8","A2ARA8;O70304;Q3UXV8;Q8BRG3;Q8C0H7"
"Slc39a13","Slc39a13","Slc39a13","SLC39A13","solute carrier family 39 (metal ion transporter), member 13","2","org.Mm.eg.db","Slc39a13","Q8BZH0;B2RQ45;B7ZCF2;Q497M5;Q8VDX1;Q9D1R4"
"Hoxd11","Hoxd11","Hoxd11","HOXD11","homeobox D11","2","org.Mm.eg.db","Hoxd11","A2ASM7;P23813"
"Rpa3","Rpa3","Rpa3","RPA3","replication protein A3","6","org.Mm.eg.db","Rpa3","Q9CQ71"
"Sytl2","Sytl2","Sytl2","SYTL2","synaptotagmin-like 2","7","org.Mm.eg.db","Sytl2","Q69ZF4;Q7TMU6;Q99N50;B2RS48;B7ZNS4;Q8BT37;Q99J89;Q99J90;Q99N51;Q99N52;Q99N55;Q99N56;A0A5F8MPH5;A0A5F8MPX2"
"Ccng1","Ccng1","Ccng1","CCNG1","cyclin G1","11","org.Mm.eg.db","Ccng1","O54779;P51945;Q3TKC9;Q3TV43;Q3TX40;Q3U5X0;Q5NC86"
"4931406C07Rik","4931406C07Rik","4931406C07Rik","C11orf54","RIKEN cDNA 4931406C07 gene","9","org.Mm.eg.db","4931406C07Rik","Q91V76;A0A1L1SSF8"
"Bcl11b","Bcl11b","Bcl11b","BCL11B","B cell leukemia/lymphoma 11B","12","org.Mm.eg.db","Bcl11b","Q8C2I1;Q99PV6;Q99PV7;Q99PV8;Q9JLF8;A0A0R4J1E1"
"Ogfrl1","Ogfrl1","Ogfrl1","OGFRL1","opioid growth factor receptor-like 1","1","org.Mm.eg.db","Ogfrl1","Q8VE52"
"V1rc13","V1rc13","Vmn1r38","","vomeronasal 1 receptor 38","6","org.Mm.eg.db","V1rc13","Q8R2E1"
"Rcn3","Rcn3","Rcn3","RCN3","reticulocalbin 3, EF-hand calcium binding domain","7","org.Mm.eg.db","Rcn3","A0A1B0GR86;Q58E50;Q8BH97;Q8R137;Q99K35;Q9CTD4"
"Atad1","Atad1","Atad1","ATAD1","ATPase family, AAA domain containing 1","19","org.Mm.eg.db","Atad1","Q3U8V2;Q9D5T0;Q9D7A4"
"Phf13","Phf13","Phf13","PHF13","PHD finger protein 13","4","org.Mm.eg.db","Phf13","Q3V230;Q8K2W6"
"Tulp3","Tulp3","Tulp3","TULP3","TUB like protein 3","6","org.Mm.eg.db","Tulp3","O88413"
"Tcea1","Tcea1","Tcea1","TCEA1","transcription elongation factor A (SII) 1","1","org.Mm.eg.db","Tcea1","Q3UPE0;E9PYD5;P10711;P10712;P23713;Q3UWX7"
"Pfn2","Pfn2","Mpeg1","MPEG1","macrophage expressed gene 1",NA,"org.Mm.eg.db","Pfn2","A0AAQ4VMR7;E9QN37;A1L314"
"Nr2c2","Nr2c2","Nr2c2","NR2C2","nuclear receptor subfamily 2, group C, member 2","6","org.Mm.eg.db","Nr2c2","G3X9W4;Q3U015;P49117;P55093;Q3ZAS1;Q5DTL3"
"Gtl6","Gtl6","Trip12","TRIP12","thyroid hormone receptor interactor 12","1","org.Mm.eg.db","Gtl6","A0A087WNZ7;G5E870;Q3TY88;Q3UYT5;Q8BM59;Q8K051"
"Igsf8","Igsf8","Igsf8","IGSF8","immunoglobulin superfamily, member 8","1","org.Mm.eg.db","Igsf8","A0A0R4J117;Q8R0L7;Q8R366"
"Tjp2","Tjp2","Tjp2","TJP2","tight junction protein 2","19","org.Mm.eg.db","Tjp2","A0A3B2WBH9;A0A3B2WCN9;Q8K210;Q9Z0U1"
"Slc37a4","Slc37a4","Slc37a4","SLC37A4","solute carrier family 37 (glucose-6-phosphate transporter), member 4","9","org.Mm.eg.db","Slc37a4","Q6WG34;Q9D1F9;A0A1L1SUI3"
"Nfatc2ip","Nfatc2ip","Nfatc2ip","NFATC2IP","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein","7","org.Mm.eg.db","Nfatc2ip","O09130;Q8CDG2;Q9CVY5"
"Prkcd","Prkcd","Prkcd","PRKCD","protein kinase C, delta","14","org.Mm.eg.db","Prkcd","Q3UNG2;P28867;Q53YN4;Q91V85;Q9Z333"
"5832424M12","5832424M12","","",NA,NA,"org.Mm.eg.db","5832424M12",NA
"D030015G18Rik","D030015G18Rik","Ahdc1","AHDC1","AT hook, DNA binding motif, containing 1","4","org.Mm.eg.db","D030015G18Rik","Q5U5N7;Q6PAL7;Q8C4Y6;Q8VCU7"
"Mgll","Mgll","Mgll","MGLL","monoglyceride lipase","6","org.Mm.eg.db","Mgll","Q3UFN1;O35678;E9Q3B9;Q3UFX6;D3YYS6;Q3V2R0;Q9D9G8"
"Pou2f1","Pou2f1","Pou2f1","POU2F1","POU domain, class 2, transcription factor 1","1","org.Mm.eg.db","Pou2f1","A0A0A0MQE0;P25425;Q61994;Q63891;Q6Y681;Q7TSD0;Q8BT04;Q8K570;Q99JH0;Q9WTZ4;Q9WTZ5;Q9WTZ6;A0A0R4J1Z4;E9Q6Z8;I1E4X2;F8VQL7"
"Zfp307","Zfp307","Zkscan3","ZKSCAN3","zinc finger with KRAB and SCAN domains 3","13","org.Mm.eg.db","Zfp307","A0A0R4J1L3;Q3V3Z2;Q8CD81;Q91VW9;Q9ESY5;A0A286YD32;Q9CSC5;D3YTV4;Q5RJ53"
"2600017H08Rik","2600017H08Rik","Spc25","SPC25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)","2","org.Mm.eg.db","2600017H08Rik","A2AUT4;Q3UA16;Q9D021;Q9D1K6;A2AUT3"
"Sgol1","Sgol1","Sgo1","SGO1","shugoshin 1","17","org.Mm.eg.db","Sgol1","Q3U4K4;Q588H1;Q8BKW2;Q9CXH7"
"2610005L07Rik","2610005L07Rik","2610005L07Rik","","cadherin 11 pseudogene","8","org.Mm.eg.db","2610005L07Rik",NA
"A630084M22Rik","A630084M22Rik","Arl4c","ARL4C","ADP-ribosylation factor-like 4C","1","org.Mm.eg.db","A630084M22Rik","P61208;Q8BV33"
"2510006C20Rik","2510006C20Rik","","",NA,NA,"org.Mm.eg.db","2510006C20Rik",NA
"Hlx","Hlx","Hlx","HLX","H2.0-like homeobox","1","org.Mm.eg.db","Hlx","Q549B7;Q61670;Q6P3B7"
"Actg","Actg","Actg1","ACTG1","actin, gamma, cytoplasmic 1","11","org.Mm.eg.db","Actg","E9Q1F2;P63260;Q3TSB7;Q4KL81"
"Gnb3","Gnb3","Gnb3","GNB3","guanine nucleotide binding protein (G protein), beta 3","6","org.Mm.eg.db","Gnb3","Q54AE3;Q61011;Q8BMQ1"
"Ddx3x","Ddx3x","Ddx3x","DDX3X","DEAD box helicase 3, X-linked","X","org.Mm.eg.db","Ddx3x","B9EKE9;O09060;O09143;Q3TQX5;Q62167"
"Olfm1","Olfm1","Olfm1","OLFM1","olfactomedin 1","2","org.Mm.eg.db","Olfm1","O88998;A3KGE4;G3X9Q7;A3KGE5;O35429;O88999;Q8R357;Q91XK8;Q9QWQ9;Q9QWR0"
"Sp100","Sp100","Sp100","SP140","nuclear antigen Sp100","1","org.Mm.eg.db","Sp100","E9PY02;O35892;O35897;O88392;O88395;Q4FK53;Q3U876;Q6NTA3;E9Q4Y0;Q3UKD8;Q8C9H3;E9QA05;Q8C405"
"Ilf2","Ilf2","Ilf2","ILF2","interleukin enhancer binding factor 2","3","org.Mm.eg.db","Ilf2","Q3U083;Q3UXI9;Q5RKG0;Q8CCY9;Q99KS3;Q9CXY6"
"Dp1l1","Dp1l1","Reep6","REEP6","receptor accessory protein 6","10","org.Mm.eg.db","Dp1l1","Q9JM62;Q8K0X2"
"6720451F06Rik","6720451F06Rik","Prickle2","PRICKLE2","prickle planar cell polarity protein 2","6","org.Mm.eg.db","6720451F06Rik","A7YQ68;A6H652;Q80Y24"
"5031414D18Rik","5031414D18Rik","Rubcnl","RUBCNL","RUN and cysteine rich domain containing beclin 1 interacting protein like","14","org.Mm.eg.db","5031414D18Rik","F8WGX2;Q7TPZ3"
"Tomm7","Tomm7","Tomm7","TOMM7","translocase of outer mitochondrial membrane 7","5","org.Mm.eg.db","Tomm7","Q9D173"
"E430025L02Rik","E430025L02Rik","Nrros","NRROS","negative regulator of reactive oxygen species","16","org.Mm.eg.db","E430025L02Rik","A0A338P6E7;Q3TIA8;Q8BMT4;Q8BTT4;Q8BUI7;Q8BY16;Q8R063"
"5430432M24Rik","5430432M24Rik","Fam110a","FAM110A","family with sequence similarity 110, member A","2","org.Mm.eg.db","5430432M24Rik","G4XVC4;Q505P3;Q8BQE5;Q8K024;Q8R184;Q8VEM7;Q9CU80"
"Hic1","Hic1","Hic1","HIC1","hypermethylated in cancer 1","11","org.Mm.eg.db","Hic1","B1ARH0;Q9R1Y5;Q9R1Y6;Q9R2B0;Z4YJP0"
"Fetub","Fetub","Fetub","FETUB","fetuin beta","16","org.Mm.eg.db","Fetub","Q6YJU1;Q8CB17;Q9QXC1"
"Kdelr1","Kdelr1","Kdelr1","KDELR1","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1","7","org.Mm.eg.db","Kdelr1","Q99JH8"
"Lrp1","Lrp1","Lrp1","LRP1","low density lipoprotein receptor-related protein 1","10","org.Mm.eg.db","Lrp1","A0A0R4J0I9;Q61291;Q91ZX7;Q920Y4"
"Il1rapl2","Il1rapl2","Il1rapl2","IL1RAPL2","interleukin 1 receptor accessory protein-like 2","X","org.Mm.eg.db","Il1rapl2","Q0VBP3;Q9ER66;Q9ERS6"
"Mat1a","Mat1a","Mat1a","MAT1A","methionine adenosyltransferase 1A","14","org.Mm.eg.db","Mat1a","Q91X83"
"1700001K19Rik","1700001K19Rik","1700001K19Rik","","RIKEN cDNA 1700001K19 gene","12","org.Mm.eg.db","1700001K19Rik","Q80ZT1"
"Tlr7","Tlr7","Tlr7","TLR7","toll-like receptor 7","X","org.Mm.eg.db","Tlr7","P58681;Q548J0;Q923I1;U5LI18"
"D930050H05Rik","D930050H05Rik","Klhl20","KLHL20","kelch-like 20","1","org.Mm.eg.db","D930050H05Rik","Q5DTH3;Q8BWA2;Q8VCK5"
"1700019B16Rik","1700019B16Rik","Paqr8","PAQR8","progestin and adipoQ receptor family member VIII","1","org.Mm.eg.db","1700019B16Rik","Q3UHI5;Q80ZE5;Q8C891;Q8CCW9;Q9DA71"
"5730528L13Rik","5730528L13Rik","Msantd3","MSANTD3","Myb/SANT-like DNA-binding domain containing 3","4","org.Mm.eg.db","5730528L13Rik","Q9CR78;Q9CYY5"
"A530088H08Rik","A530088H08Rik","Pirt","PIRT","phosphoinositide-interacting regulator of transient receptor potential channels","11","org.Mm.eg.db","A530088H08Rik","Q8BFY0;Q3UEZ1;Q3UFA4"
"Fus","Fus","Fus","FUS","fused in sarcoma","7","org.Mm.eg.db","Fus","Q3UK30;Q8CFQ9;P56959;Q564D0"
"2310069N01Rik","2310069N01Rik","Lce1i","","late cornified envelope 1I","3","org.Mm.eg.db","2310069N01Rik","Q9D6P5"
"Rdhs","Rdhs","Sdr9c7;Rdh19","SDR9C7","4short chain dehydrogenase/reductase family 9C, member 7; retinol dehydrogenase 19","10","org.Mm.eg.db","Rdhs","Q8K3P0;G5E8H9;Q8K3M9"
"Rap1a","Rap1a","Rap1a","RAP1A","RAS-related protein 1a","3","org.Mm.eg.db","Rap1a","P62835;Q3V3W9"
"Ube2m","Ube2m","Ube2m","UBE2M","ubiquitin-conjugating enzyme E2M","7","org.Mm.eg.db","Ube2m","G5E919;F7CDT0;P61082"
"Zfp120","Zfp120","Zfp120","","zinc finger protein 120","2","org.Mm.eg.db","Zfp120","A2ANU5;Q9EQK2;Q78JR8;Q8BZW4;Q9EQK4;Q9JIB8"
"Mkln1","Mkln1","Mkln1","MKLN1","muskelin 1, intracellular mediator containing kelch motifs","6","org.Mm.eg.db","Mkln1","O89050"
"H2-M3","H2-M3","H2","","histocompatibility-2, MHC",NA,"org.Mm.eg.db","H2-M3",NA
"2600010E01Rik","2600010E01Rik","Prr5l","PRR5L","proline rich 5 like","2","org.Mm.eg.db","2600010E01Rik","A2AVJ5;B7ZWM2;Q80Y78;Q8BIT0"
"Dnclc1","Dnclc1","Dynll1","DYNLL1","dynein light chain LC8-type 1","5","org.Mm.eg.db","Dnclc1","P63168;Q3UGE7;Q9D6F6"
"BC036563","BC036563","Zc3h12a","ZC3H12A","zinc finger CCCH type containing 12A",NA,"org.Mm.eg.db","BC036563","Q3U8J3;Q3UE76;Q5D1E7;Q8JZW9;Q922T4"
"Paics","Paics","Paics","PAICS","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase","5","org.Mm.eg.db","Paics","Q9CQ38;Q9DCL9"
"2410014A08Rik","2410014A08Rik","Mlec","MLEC","malectin","5","org.Mm.eg.db","2410014A08Rik","Q6ZQI3;Q8C6C3;Q8CD40;Q8CI91"
"E130319B15Rik","E130319B15Rik","Bend7","BEND7","BEN domain containing 7","2","org.Mm.eg.db","E130319B15Rik","B7ZMX8;Q0VE44;Q4VAD9;Q6PHN3;Q8BPJ4;Q8BSV3;Q8C973"
"Grb7","Grb7","Grb7","GRB7","growth factor receptor bound protein 7","11","org.Mm.eg.db","Grb7","Q03160;Q3TH55"
"9130422G05Rik","9130422G05Rik","Ttc39b","TTC39B","tetratricopeptide repeat domain 39B","4","org.Mm.eg.db","9130422G05Rik","B2RX73;Q3V168;Q8BX40;Q8BYY4;Q9D8N8"
"Bcl2l12","Bcl2l12","Bcl2l12","BCL2L12","BCL2 like 12","7","org.Mm.eg.db","Bcl2l12","Q9D3J3;A0A140LIT0"
"1700007D05Rik","1700007D05Rik","Mterf2","MTERF2","mitochondrial transcription termination factor 2","10","org.Mm.eg.db","1700007D05Rik","Q8BKY8"
"Dip2","Dip2","Dip2a","DIP2A","disco interacting protein 2 homolog A","10","org.Mm.eg.db","Dip2","D3Z7D3;F8WI56;E0CXM7;Q8BWT5;Q8CHI0"
"Sec14l4","Sec14l4","Sec14l4","SEC14L4","SEC14-like lipid binding 4","11","org.Mm.eg.db","Sec14l4","Q8R0F9"
"Myl3","Myl3","Myl3","MYL3","myosin, light polypeptide 3","9","org.Mm.eg.db","Myl3","A0A0G2JDW2;P09542;Q3UIF4;Q9CQZ2"
"Adamts10","Adamts10","Adamts10","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10","17","org.Mm.eg.db","Adamts10","P58459;Q497H1;Q78TI1;Q8CG28"
"Hdac10","Hdac10","Hdac10","HDAC10","histone deacetylase 10","15","org.Mm.eg.db","Hdac10","G3X9I8;Q6P3E7"
"Pcnxl3","Pcnxl3","Pcnx3","PCNX3","pecanex homolog 3","19","org.Mm.eg.db","Pcnxl3","Q8VI59"
"1110020L19Rik","1110020L19Rik","Haus7","HAUS7","HAUS augmin-like complex, subunit 7","X","org.Mm.eg.db","1110020L19Rik","A2AIF2;Q8BKT8;Q924Z7"
"H2afx","H2afx","H2ax","H2AX","H2A.X variant histone","9","org.Mm.eg.db","H2afx","A0A0N4SV66;P27661"
"9130227C08Rik","9130227C08Rik","Khnyn","KHNYN","KH and NYN domain containing","14","org.Mm.eg.db","9130227C08Rik","A0A2I3BPI4;Q14B94;Q80U38;Q8BGJ6;Q8C082"
"AI132321","AI132321","","",NA,NA,"org.Mm.eg.db","AI132321",NA
"A930006D20Rik","A930006D20Rik","Synj1","SYNJ1","synaptojanin 1","16","org.Mm.eg.db","A930006D20Rik","E9Q7S0;F7BQW7;D3Z656;Q8CHC4"
