"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"NUP88","NUP88","nucleoporin 88","protein_coding","17","5384832","2244","17p13.2"
"NUP93","NUP93","nucleoporin 93","protein_coding","16","56781828","2907","16q13"
"NUP98","NUP98","nucleoporin 98 and 96 precursor","protein_coding","11","3675018","4361","11p15.4"
"NUSAP1","NUSAP1","nucleolar and spindle associated protein 1","protein_coding","15","41332880","2361","15q15.1"
"NUTF2","NUTF2","nuclear transport factor 2","protein_coding","16","67847191","815","16q22.1"
"NVL","NVL","nuclear VCP like","protein_coding","1","224227344","2389","1q42.11"
"NXF1","NXF1","nuclear RNA export factor 1","protein_coding","11","62792129","2792","11q12.3"
"NXT1","NXT1","nuclear transport factor 2 like export factor 1","protein_coding","20","23350790","1117","20p11.21"
"NXT2","NXT2","nuclear transport factor 2 like export factor 2","protein_coding","X","109535823","2633","Xq23"
"NYNRIN","NYNRIN","NYN domain and retroviral integrase containing","protein_coding","14","24399002","7857","14q12"
"OARD1","OARD1","O-acyl-ADP-ribose deacylase 1","protein_coding","6","41071500","1264","6p21.1"
"OAS1","OAS1","2'-5'-oligoadenylate synthetase 1","protein_coding","12","112906961","1420","12q24.13"
"OAS2","OAS2","2'-5'-oligoadenylate synthetase 2","protein_coding","12","112978518","3090","12q24.13"
"OAS3","OAS3","2'-5'-oligoadenylate synthetase 3","protein_coding","12","112938473","3002","12q24.13"
"OASL","OASL","2'-5'-oligoadenylate synthetase like","protein_coding","12","121020291","1874","12q24.31"
"OAT","OAT","ornithine aminotransferase","protein_coding","10","124397302","2634","10q26.13"
"OCIAD1","OCIAD1","OCIA domain containing 1","protein_coding","4","48831042","1858","4p11"
"OCIAD2","OCIAD2","OCIA domain containing 2","protein_coding","4","48885379","705","4p11"
"OCRL","OCRL","OCRL inositol polyphosphate-5-phosphatase","protein_coding","X","129540258","4273","Xq26.1"
"ODC1","ODC1","ornithine decarboxylase 1","protein_coding","2","10439967","1578","2p25.1"
"ODF1","ODF1","outer dense fiber of sperm tails 1","protein_coding","8","102551588","994","8q22.3"
"OFD1","OFD1","OFD1 centriole and centriolar satellite protein","protein_coding","X","13734712","3475","Xp22.2"
"OGDH","OGDH","oxoglutarate dehydrogenase","protein_coding","7","44606626","3497","7p13"
"OGFOD1","OGFOD1","2-oxoglutarate and iron dependent oxygenase domain containing 1","protein_coding","16","56451553","2900","16q13"
"OGFOD2","OGFOD2","2-oxoglutarate and iron dependent oxygenase domain containing 2","protein_coding","12","122974725","2060","12q24.31"
"OGFR","OGFR","opioid growth factor receptor","protein_coding","20","62804834","3114","20q13.33"
"OGT","OGT","O-linked N-acetylglucosamine (GlcNAc) transferase","protein_coding","X","71533103","4704","Xq13.1"
"OLA1","OLA1","Obg like ATPase 1","protein_coding","2","174072446","4225","2q31.1"
"OMA1","OMA1","OMA1 zinc metallopeptidase","protein_coding","1","58480718","1686","1p32.2-p32.1"
"OPA1","OPA1","OPA1 mitochondrial dynamin like GTPase","protein_coding","3","193593207","6356","3q29"
"OPA3","OPA3","outer mitochondrial membrane lipid metabolism regulator OPA3","protein_coding","19","45527426","5850","19q13.32"
"OPTN","OPTN","optineurin","protein_coding","10","13100081","3520","10p13"
"ORAI1","ORAI1","ORAI calcium release-activated calcium modulator 1","protein_coding","12","121626549","1502","12q24.31"
"ORC1","ORC1","origin recognition complex subunit 1","protein_coding","1","52372828","3163","1p32.3"
"ORC2","ORC2","origin recognition complex subunit 2","protein_coding","2","200908976","3135","2q33.1"
"ORC3","ORC3","origin recognition complex subunit 3","protein_coding","6","87590066","2132","6q15"
"ORC4","ORC4","origin recognition complex subunit 4","protein_coding","2","147930396","5961","2q23.1"
"ORC5","ORC5","origin recognition complex subunit 5","protein_coding","7","104168175","1789","7q22.1-q22.2"
"ORC6","ORC6","origin recognition complex subunit 6","protein_coding","16","46689658","1633","16q11.2"
"ORM1","ORM1","orosomucoid 1","protein_coding","9","114323097","839","9q32"
"ORM2","ORM2","orosomucoid 2","protein_coding","9","114329868","844","9q32"
"ORMDL1","ORMDL1","ORMDL sphingolipid biosynthesis regulator 1","protein_coding","2","189770266","2334","2q32.2"
"ORMDL3","ORMDL3","ORMDL sphingolipid biosynthesis regulator 3","protein_coding","17","39921040","2579","17q21.1"
"OS9","OS9","OS9 endoplasmic reticulum lectin","protein_coding","12","57693954","2600","12q13.3-q14.1"
"OSBP","OSBP","oxysterol binding protein","protein_coding","11","59574397","3060","11q12.1"
"OSBPL11","OSBPL11","oxysterol binding protein like 11","protein_coding","3","125528857","4638","3q21.2"
"OSBPL1A","OSBPL1A","oxysterol binding protein like 1A","protein_coding","18","24162045","4487","18q11.2"
"OSBPL2","OSBPL2","oxysterol binding protein like 2","protein_coding","20","62238520","3634","20q13.33"
"OSBPL3","OSBPL3","oxysterol binding protein like 3","protein_coding","7","24796536","5334","7p15.3"
"OSBPL7","OSBPL7","oxysterol binding protein like 7","protein_coding","17","47807371","4080","17q21.32"
"OSBPL8","OSBPL8","oxysterol binding protein like 8","protein_coding","12","76351797","6090","12q21.2"
"OSBPL9","OSBPL9","oxysterol binding protein like 9","protein_coding","1","51617091","3804","1p32.3"
"OSGEP","OSGEP","O-sialoglycoprotein endopeptidase","protein_coding","14","20446400","1625","14q11.2"
"OSGEPL1","OSGEPL1","O-sialoglycoprotein endopeptidase like 1","protein_coding","2","189746659","2090","2q32.2"
"OSTC","OSTC","oligosaccharyltransferase complex non-catalytic subunit","protein_coding","4","108650584","1037","4q25"
"OSTF1","OSTF1","osteoclast stimulating factor 1","protein_coding","9","75088513","1266","9q21.13"
"OTUB1","OTUB1","OTU deubiquitinase, ubiquitin aldehyde binding 1","protein_coding","11","63985852","2162","11q13.1"
"OTUD4","OTUD4","OTU deubiquitinase 4","protein_coding","4","145133649","3952","4q31.21"
"OTUD5","OTUD5","OTU deubiquitinase 5","protein_coding","X","48922025","2732","Xp11.23"
"OTUD6B","OTUD6B","OTU deubiquitinase 6B","protein_coding","8","91070343","3368","8q21.3"
"OTUD7B","OTUD7B","OTU deubiquitinase 7B","protein_coding","1","149937811","5102","1q21.2"
"OTULIN","OTULIN","OTU deubiquitinase with linear linkage specificity","protein_coding","5","14664717","7896","5p15.2"
"OVCA2","OVCA2","OVCA2 serine hydrolase domain containing","protein_coding","17","2042021","1076","17p13.3"
"OXA1L","OXA1L","OXA1L mitochondrial inner membrane protein","protein_coding","14","22766687","1522","14q11.2"
"OXCT1","OXCT1","3-oxoacid CoA-transferase 1","protein_coding","5","41730066","2629","5p13.1"
"OXLD1","OXLD1","oxidoreductase like domain containing 1","protein_coding","17","81665035","620","17q25.3"
"OXNAD1","OXNAD1","oxidoreductase NAD binding domain containing 1","protein_coding","3","16265211","2050","3p25.1-p24.3"
"OXSM","OXSM","3-oxoacyl-ACP synthase, mitochondrial","protein_coding","3","25790071","1293","3p24.2"
"OXSR1","OXSR1","oxidative stress responsive kinase 1","protein_coding","3","38165536","3578","3p22.2"
"P2RX4","P2RX4","purinergic receptor P2X 4","protein_coding","12","121210128","1767","12q24.31"
"P2RY8","P2RY8","P2Y receptor family member 8","protein_coding","X","1462580","4234","Xp22.33|Yp11.3"
"P3H1","P3H1","prolyl 3-hydroxylase 1","protein_coding","1","42746373","2888","1p34.2"
"P4HA1","P4HA1","prolyl 4-hydroxylase subunit alpha 1","protein_coding","10","73007221","2783","10q22.1"
"P4HB","P4HB","prolyl 4-hydroxylase subunit beta","protein_coding","17","81843165","2244","17q25.3"
"PA2G4","PA2G4","proliferation-associated 2G4","protein_coding","12","56104558","2626","12q13.2"
"PAAF1","PAAF1","proteasomal ATPase associated factor 1","protein_coding","11","73888780","1632","11q13.4"
"PABPC1","PABPC1","poly(A) binding protein cytoplasmic 1","protein_coding","8","100702915","2511","8q22.3"
"PABPC4","PABPC4","poly(A) binding protein cytoplasmic 4","protein_coding","1","39560815","3159","1p34.3"
"PABPN1","PABPN1","poly(A) binding protein nuclear 1","protein_coding","14","23322005","3156","14q11.2"
"PACS1","PACS1","phosphofurin acidic cluster sorting protein 1","protein_coding","11","66070271","3543","11q13.1-q13.2"
"PACS2","PACS2","phosphofurin acidic cluster sorting protein 2","protein_coding","14","105314747","6497","14q32.33"
"PACSIN2","PACSIN2","protein kinase C and casein kinase substrate in neurons 2","protein_coding","22","42869772","3217","22q13.2"
"PADI2","PADI2","peptidyl arginine deiminase 2","protein_coding","1","17066760","3334","1p36.13"
"PAFAH1B1","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1","protein_coding","17","2593653","3949","17p13.3"
"PAFAH1B2","PAFAH1B2","platelet activating factor acetylhydrolase 1b catalytic subunit 2","protein_coding","11","117144286","2106","11q23.3"
"PAFAH1B3","PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3","protein_coding","19","42297032","1011","19q13.2"
"PAFAH2","PAFAH2","platelet activating factor acetylhydrolase 2","protein_coding","1","25959766","3610","1p36.11"
"PAG1","PAG1","phosphoprotein membrane anchor with glycosphingolipid microdomains 1","protein_coding","8","80967810","10743","8q21.13"
"PAGR1","PAGR1","PAXIP1 associated glutamate rich protein 1","protein_coding","16","29816151","3825","16p11.2"
"PAICS","PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","protein_coding","4","56436259","3314","4q12"
"PAIP1","PAIP1","poly(A) binding protein interacting protein 1","protein_coding","5","43526267","2572","5p12"
"PAIP2","PAIP2","poly(A) binding protein interacting protein 2","protein_coding","5","139341831","1761","5q31.2"
"PAK1","PAK1","p21 (RAC1) activated kinase 1","protein_coding","11","77322016","2983","11q13.5-q14.1"
"PAK1IP1","PAK1IP1","PAK1 interacting protein 1","protein_coding","6","10694971","1495","6p24.2"
"PAK2","PAK2","p21 (RAC1) activated kinase 2","protein_coding","3","196739856","6139","3q29"
"PAK4","PAK4","p21 (RAC1) activated kinase 4","protein_coding","19","39125785","2655","19q13.2"
"PAN2","PAN2","poly(A) specific ribonuclease subunit PAN2","protein_coding","12","56316222","4829","12q13.3"
"PANK2","PANK2","pantothenate kinase 2","protein_coding","20","3889815","1820","20p13"
"PANK3","PANK3","pantothenate kinase 3","protein_coding","5","168548494","3387","5q34"
"PANK4","PANK4","pantothenate kinase 4 (inactive)","protein_coding","1_KI270762v1_alt","59726","2584","1p36.32"
"PANX1","PANX1","pannexin 1","protein_coding","11","94128840","2760","11q21"
"PAPOLA","PAPOLA","poly(A) polymerase alpha","protein_coding","14","96502381","4449","14q32.2"
"PAPOLG","PAPOLG","poly(A) polymerase gamma","protein_coding","2","60756267","6910","2p16.1"
"PAPSS1","PAPSS1","3'-phosphoadenosine 5'-phosphosulfate synthase 1","protein_coding","4","107613665","1868","4q25"
"PARG","PARG","poly(ADP-ribose) glycohydrolase","protein_coding","10","49818278","3041","10q11.23"
"PARK7","PARK7","Parkinsonism associated deglycase","protein_coding","1","7961710","902","1p36.23"
"PARL","PARL","presenilin associated rhomboid like","protein_coding","3","183829270","1337","3q27.1"
"PARN","PARN","poly(A)-specific ribonuclease","protein_coding","16_KI270853v1_alt","8557","2496","16p13.12"
"PARP1","PARP1","poly(ADP-ribose) polymerase 1","protein_coding","1","226360690","3985","1q42.12"
"PARP10","PARP10","poly(ADP-ribose) polymerase family member 10","protein_coding","8","143977157","2669","8q24.3"
"PARP12","PARP12","poly(ADP-ribose) polymerase family member 12","protein_coding","7","140023748","3720","7q34"
"PARP14","PARP14","poly(ADP-ribose) polymerase family member 14","protein_coding","3","122680838","7024","3q21.1"
"PARP16","PARP16","poly(ADP-ribose) polymerase family member 16","protein_coding","15","65258098","2417","15q22.31"
"PARP2","PARP2","poly(ADP-ribose) polymerase 2","protein_coding","14","20343634","1703","14q11.2"
"PARP4","PARP4","poly(ADP-ribose) polymerase family member 4","protein_coding","13","24420930","4410","13q12.12"
"PARP9","PARP9","poly(ADP-ribose) polymerase family member 9","protein_coding","3","122531785","3545","3q21.1"
"PARS2","PARS2","prolyl-tRNA synthetase 2, mitochondrial","protein_coding","1","54756897","2386","1p32.3"
"PARVB","PARVB","parvin beta","protein_coding","22","44069116","1678","22q13.31"
"PARVG","PARVG","parvin gamma","protein_coding","22","44180924","1731","22q13.31"
"PASK","PASK","PAS domain containing serine/threonine kinase","protein_coding","2","241106098","4552","2q37.3"
"PATJ","PATJ","PATJ crumbs cell polarity complex component","protein_coding","1","61742479","4226","1p31.3"
"PATL1","PATL1","PAT1 homolog 1, processing body mRNA decay factor","protein_coding","11","59636715","2549","11q12.1"
"PATZ1","PATZ1","POZ/BTB and AT hook containing zinc finger 1","protein_coding","22","31325803","3558","22q12.2"
"PAWR","PAWR","pro-apoptotic WT1 regulator","protein_coding","12","79584873","1951","12q21.2"
"PAXBP1","PAXBP1","PAX3 and PAX7 binding protein 1","protein_coding","21","32741338","3248","21q22.11"
"PAXIP1","PAXIP1","PAX interacting protein 1","protein_coding","7","154943689","3194","7q36.2"
"PBDC1","PBDC1","polysaccharide biosynthesis domain containing 1","protein_coding","X","76172928","765","Xq13.3"
"PBK","PBK","PDZ binding kinase","protein_coding","8","27809623","1953","8p21.1"
"PBRM1","PBRM1","polybromo 1","protein_coding","3","52545366","6209","3p21.1"
"PBXIP1","PBXIP1","PBX homeobox interacting protein 1","protein_coding","1","154944082","2512","1q21.3"
"PCBD1","PCBD1","pterin-4 alpha-carbinolamine dehydratase 1","protein_coding","10","70883509","1006","10q22.1"
"PCBD2","PCBD2","pterin-4 alpha-carbinolamine dehydratase 2","protein_coding","5","134905130","2378","5q31.1"
"PCBP1","PCBP1","poly(rC) binding protein 1","protein_coding","2","70087476","1750","2p13.3"
"PCBP2","PCBP2","poly(rC) binding protein 2","protein_coding","12","53452101","2633","12q13.13"
"PCBP3","PCBP3","poly(rC) binding protein 3","protein_coding","21","45643724","1899","21q22.3"
"PCCA","PCCA","propionyl-CoA carboxylase subunit alpha","protein_coding","13","100089092","2491","13q32.3"
"PCCB","PCCB","propionyl-CoA carboxylase subunit beta","protein_coding","3","136250324","2818","3q22.3"
"PCED1B","PCED1B","PC-esterase domain containing 1B","protein_coding","12","47079602","2225","12q13.11"
"PCF11","PCF11","PCF11 cleavage and polyadenylation factor subunit","protein_coding","11","83157130","5155","11q14.1"
"PCGF1","PCGF1","polycomb group ring finger 1","protein_coding","2","74505042","959","2p13.1"
"PCGF5","PCGF5","polycomb group ring finger 5","protein_coding","10","91163011","4706","10q23.32"
"PCID2","PCID2","PCI domain containing 2","protein_coding","13","113177535","1921","13q34"
"PCIF1","PCIF1","phosphorylated CTD interacting factor 1","protein_coding","20","45934682","2080","20q13.12"
"PCK2","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial","protein_coding","14_KZ208920v1_fix","395288","2169","14q11.2-q12"
"PCMT1","PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase","protein_coding","6","149749694","1551","6q25.1"
"PCMTD1","PCMTD1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1","protein_coding","8","51817574","3199","8q11.23"
"PCMTD2","PCMTD2","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2","protein_coding","20_KI270870v1_alt","164285","3872","20q13.33"
"PCNA","PCNA","proliferating cell nuclear antigen","protein_coding","20","5114952","1318","20p12.3"
"PCNP","PCNP","PEST proteolytic signal containing nuclear protein","protein_coding","3","101574093","2158","3q12.3"
"PCNT","PCNT","pericentrin","protein_coding","21","46324666","7375","21q22.3"
"PCOLCE","PCOLCE","procollagen C-endopeptidase enhancer","protein_coding","7","100602362","1380","7q22.1"
"PCYOX1","PCYOX1","prenylcysteine oxidase 1","protein_coding","2","70258136","5375","2p13.3"
"PCYOX1L","PCYOX1L","prenylcysteine oxidase 1 like","protein_coding","5","149358045","2871","5q32"
"PCYT1A","PCYT1A","phosphate cytidylyltransferase 1, choline, alpha","protein_coding","3","196234367","1551","3q29"
"PCYT2","PCYT2","phosphate cytidylyltransferase 2, ethanolamine","protein_coding","17","81900957","3314","17q25.3"
"PDAP1","PDAP1","PDGFA associated protein 1","protein_coding","7","99394675","2687","7q22.1"
"PDCD1","PDCD1","programmed cell death 1","protein_coding","2","241849883","1933","2q37.3"
"PDCD10","PDCD10","programmed cell death 10","protein_coding","3","167683905","1313","3q26.1"
"PDCD11","PDCD11","programmed cell death 11","protein_coding","10","103396625","6416","10q24.33"
"PDCD2","PDCD2","programmed cell death 2","protein_coding","6","170578481","1864","6q27"
"PDCD2L","PDCD2L","programmed cell death 2 like","protein_coding","19","34404397","1157","19q13.11"
"PDCD4","PDCD4","programmed cell death 4","protein_coding","10","110871794","3628","10q25.2"
"PDCD5","PDCD5","programmed cell death 5","protein_coding","19","32581189","650","19q13.11"
"PDCD6","PDCD6","programmed cell death 6","protein_coding","5","271645","1023","5p15.33"
"PDCD6IP","PDCD6IP","programmed cell death 6 interacting protein","protein_coding","3","33798570","4689","3p22.3"
"PDCD7","PDCD7","programmed cell death 7","protein_coding","15","65117378","2851","15q22.31"
"PDCL","PDCL","phosducin like","protein_coding","9","122818096","3085","9q33.2"
"PDCL3","PDCL3","phosducin like 3","protein_coding","2","100562992","1075","2q11.2"
"PDE12","PDE12","phosphodiesterase 12","protein_coding","3","57556273","3528","3p14.3"
"PDE1B","PDE1B","phosphodiesterase 1B","protein_coding","12","54561464","3134","12q13.2"
"PDE3B","PDE3B","phosphodiesterase 3B","protein_coding","11","14643722","6028","11p15.2"
"PDE4DIP","PDE4DIP","phosphodiesterase 4D interacting protein","protein_coding","1","148844427","3766","1q21.2"
"PDE6D","PDE6D","phosphodiesterase 6D","protein_coding","2","231778722","1048","2q37.1"
"PDHA1","PDHA1","pyruvate dehydrogenase E1 subunit alpha 1","protein_coding","X","19343926","3310","Xp22.12"
"PDHB","PDHB","pyruvate dehydrogenase E1 subunit beta","protein_coding","3","58427629","1518","3p14.3"
"PDHX","PDHX","pyruvate dehydrogenase complex component X","protein_coding","11","34916129","2651","11p13"
"PDIA3","PDIA3","protein disulfide isomerase family A member 3","protein_coding","15","43746437","3003","15q15.3"
"PDIA4","PDIA4","protein disulfide isomerase family A member 4","protein_coding","7","149003050","2952","7q36.1"
"PDIA5","PDIA5","protein disulfide isomerase family A member 5","protein_coding","3","123067024","1784","3q21.1"
"PDIA6","PDIA6","protein disulfide isomerase family A member 6","protein_coding","2","10783390","2552","2p25.1"
"PDK1","PDK1","pyruvate dehydrogenase kinase 1","protein_coding","2","172555372","2816","2q31.1"
"PDK2","PDK2","pyruvate dehydrogenase kinase 2","protein_coding","17","50095274","2206","17q21.33"
"PDK3","PDK3","pyruvate dehydrogenase kinase 3","protein_coding","X","24465285","7291","Xp22.11"
"PDLIM1","PDLIM1","PDZ and LIM domain 1","protein_coding","10","95237572","1580","10q23.33"
"PDLIM2","PDLIM2","PDZ and LIM domain 2","protein_coding","8","22578740","2429","8p21.3"
"PDLIM5","PDLIM5","PDZ and LIM domain 5","protein_coding","4","94451856","4217","4q22.3"
"PDLIM7","PDLIM7","PDZ and LIM domain 7","protein_coding","5","177483393","1685","5q35.3"
"PDP1","PDP1","pyruvate dehyrogenase phosphatase catalytic subunit 1","protein_coding","8","93916922","4292","8q22.1"
"PDP2","PDP2","pyruvate dehyrogenase phosphatase catalytic subunit 2","protein_coding","16","66880514","7030","16q22.1"
"PDPK1","PDPK1","3-phosphoinositide dependent protein kinase 1","protein_coding","16","2538020","5397","16p13.3"
"PDPR","PDPR","pyruvate dehydrogenase phosphatase regulatory subunit","protein_coding","16","70113625","6467","16q22.1"
"PDRG1","PDRG1","p53 and DNA damage regulated 1","protein_coding","20","31944336","1373","20q11.21"
"PDS5A","PDS5A","PDS5 cohesin associated factor A","protein_coding","4","39897970","4952","4p14"
"PDS5B","PDS5B","PDS5 cohesin associated factor B","protein_coding","13","32586451","4746","13q13.1"
"PDSS1","PDSS1","decaprenyl diphosphate synthase subunit 1","protein_coding","10","26697423","1325","10p12.1"
"PDSS2","PDSS2","decaprenyl diphosphate synthase subunit 2","protein_coding","6","107152562","2671","6q21"
"PDXDC1","PDXDC1","pyridoxal dependent decarboxylase domain containing 1","protein_coding","16","14974734","3100","16p13.11"
"PDXK","PDXK","pyridoxal kinase","protein_coding","21","43741485","5754","21q22.3"
"PDXP","PDXP","pyridoxal phosphatase","protein_coding","22","37658722","2005","22q13.1"
"PDZD8","PDZD8","PDZ domain containing 8","protein_coding","10","117277273","3837","10q25.3-q26.11"
"PEA15","PEA15","proliferation and apoptosis adaptor protein 15","protein_coding","1","160205383","2622","1q23.2"
"PEAK1","PEAK1","pseudopodium enriched atypical kinase 1","protein_coding","15","77108160","9282","15q24.3"
"PEBP1","PEBP1","phosphatidylethanolamine binding protein 1","protein_coding","12","118136123","1337","12q24.23"
"PECAM1","PECAM1","platelet and endothelial cell adhesion molecule 1","protein_coding","17","64319415","4453","17q23.3"
"PECR","PECR","peroxisomal trans-2-enoyl-CoA reductase","protein_coding","2","216038387","1512","2q35"
"PEF1","PEF1","penta-EF-hand domain containing 1","protein_coding","1","31629861","1708","1p35.2"
"PELO","PELO","pelota mRNA surveillance and ribosome rescue factor","protein_coding","5","52787915","2921","5q11.2"
"PELP1","PELP1","proline, glutamate and leucine rich protein 1","protein_coding","17","4669774","3600","17p13.2"
"PEPD","PEPD","peptidase D","protein_coding","19","33386949","1803","19q13.11"
"PER1","PER1","period circadian regulator 1","protein_coding","17","8140471","2852","17p13.1"
"PES1","PES1","pescadillo ribosomal biogenesis factor 1","protein_coding","22","30576624","2502","22q12.2"
"PEX1","PEX1","peroxisomal biogenesis factor 1","protein_coding","7","92487024","3693","7q21.2"
"PEX11B","PEX11B","peroxisomal biogenesis factor 11 beta","protein_coding","1","145911347","1836","1q21.1"
"PEX13","PEX13","peroxisomal biogenesis factor 13","protein_coding","2","61017719","2065","2p15"
"PEX14","PEX14","peroxisomal biogenesis factor 14","protein_coding","1","10474949","1492","1p36.22"
"PEX16","PEX16","peroxisomal biogenesis factor 16","protein_coding","11","45909665","1840","11p11.2"
"PEX19","PEX19","peroxisomal biogenesis factor 19","protein_coding","1","160276806","3607","1q23.2"
"PEX2","PEX2","peroxisomal biogenesis factor 2","protein_coding","8","76980257","4338","8q21.13"
"PEX3","PEX3","peroxisomal biogenesis factor 3","protein_coding","6","143450804","1968","6q24.2"
"PEX5","PEX5","peroxisomal biogenesis factor 5","protein_coding","12","7189685","3230","12p13.31"
"PEX6","PEX6","peroxisomal biogenesis factor 6","protein_coding","6","42963865","3374","6p21.1"
"PF4","PF4","platelet factor 4","protein_coding","4","73980814","856","4q13.3"
"PF4V1","PF4V1","platelet factor 4 variant 1","protein_coding","4","73853295","741","4q13.3"
"PFAS","PFAS","phosphoribosylformylglycinamidine synthase","protein_coding","17","8249288","3478","17p13.1"
"PFDN1","PFDN1","prefoldin subunit 1","protein_coding","5","140245034","1324","5q31.3"
"PFDN2","PFDN2","prefoldin subunit 2","protein_coding","1","161100560","642","1q23.3"
"PFDN4","PFDN4","prefoldin subunit 4","protein_coding","20","54208086","1346","20q13.2"
"PFDN5","PFDN5","prefoldin subunit 5","protein_coding","12","53295450","992","12q13.13"
"PFDN6","PFDN6","prefoldin subunit 6","protein_coding","6_GL000251v2_alt","4701085","620","6p21.32"
"PFKFB2","PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","protein_coding","1","207053274","4868","1q32.1"
"PFKFB3","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","protein_coding","10","6146247","3695","10p15.1"
"PFKFB4","PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","protein_coding","3","48517683","3141","3p21.31"
"PFKL","PFKL","phosphofructokinase, liver type","protein_coding","21","44300052","2772","21q22.3"
"PFKM","PFKM","phosphofructokinase, muscle","protein_coding","12","48119229","3362","12q13.11"
"PFKP","PFKP","phosphofructokinase, platelet","protein_coding","10","3069188","2439","10p15.2"
"PFN1","PFN1","profilin 1","protein_coding","17","4945651","1365","17p13.2"
"PFN2","PFN2","profilin 2","protein_coding","3","149964904","1611","3q25.1"
"PFN3","PFN3","profilin 3","protein_coding","5","177400108","530","5q35.3"
"PGAM1","PGAM1","phosphoglycerate mutase 1","protein_coding","10","97427676","1758","10q24.1"
"PGAM5","PGAM5","PGAM family member 5, mitochondrial serine/threonine protein phosphatase","protein_coding","12","132710841","2496","12q24.33"
"PGAP1","PGAP1","post-GPI attachment to proteins inositol deacylase 1","protein_coding","2","196833003","6084","2q33.1"
"PGD","PGD","phosphogluconate dehydrogenase","protein_coding","1","10399063","1904","1p36.22"
"PGGHG","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","protein_coding","11","289125","2324","11p15.5"
"PGGT1B","PGGT1B","protein geranylgeranyltransferase type I subunit beta","protein_coding","5","115204013","2612","5q22.3"
"PGK1","PGK1","phosphoglycerate kinase 1","protein_coding","X","78104247","2460","Xq21.1"
"PGK2","PGK2","phosphoglycerate kinase 2","protein_coding","6","49785659","1690","6p12.3"
"PGLS","PGLS","6-phosphogluconolactonase","protein_coding","19","17511648","1034","19p13.11"
"PGLYRP2","PGLYRP2","peptidoglycan recognition protein 2","protein_coding","19","15468645","2000","19p13.12"
"PGM1","PGM1","phosphoglucomutase 1","protein_coding","1","63623215","2460","1p31.3"
"PGM2","PGM2","phosphoglucomutase 2","protein_coding","4","37826685","2660","4p14"
"PGM2L1","PGM2L1","phosphoglucomutase 2 like 1","protein_coding","11","74330315","8501","11q13.4"
"PGM3","PGM3","phosphoglucomutase 3","protein_coding","6","83164873","5082","6q14.1"
"PGPEP1","PGPEP1","pyroglutamyl-peptidase I","protein_coding","19","18340597","5655","19p13.11"
"PGRMC1","PGRMC1","progesterone receptor membrane component 1","protein_coding","X","119236284","1838","Xq24"
"PGRMC2","PGRMC2","progesterone receptor membrane component 2","protein_coding","4","128269241","3790","4q28.2"
"PGS1","PGS1","phosphatidylglycerophosphate synthase 1","protein_coding","17","78378648","2076","17q25.3"
"PHACTR2","PHACTR2","phosphatase and actin regulator 2","protein_coding","6","143677964","9462","6q24.2"
"PHACTR4","PHACTR4","phosphatase and actin regulator 4","protein_coding","1","28438149","4728","1p35.3"
"PHAX","PHAX","phosphorylated adaptor for RNA export","protein_coding","5","126600946","3641","5q23.2"
"PHB","PHB","prohibitin","protein_coding","17","49404051","1826","17q21.33"
"PHB2","PHB2","prohibitin 2","protein_coding","12","6965351","1313","12p13.31"
"PHC1","PHC1","polyhomeotic homolog 1","protein_coding","12","8914508","3440","12p13.31"
"PHC2","PHC2","polyhomeotic homolog 2","protein_coding","1","33323625","3041","1p35.1"
"PHC3","PHC3","polyhomeotic homolog 3","protein_coding","3","170087583","4755","3q26.2"
"PHF1","PHF1","PHD finger protein 1","protein_coding","6_GL000256v2_alt","4859740","2274","6p21.32"
"PHF10","PHF10","PHD finger protein 10","protein_coding","6","169703901","2415","6q27"
"PHF11","PHF11","PHD finger protein 11","protein_coding","13","49495952","1434","13q14.2"
"PHF12","PHF12","PHD finger protein 12","protein_coding","17","28912143","3414","17q11.2"
"PHF14","PHF14","PHD finger protein 14","protein_coding","7","10973871","5147","7p21.3"
"PHF19","PHF19","PHD finger protein 19","protein_coding","9","120855650","3044","9q33.2"
"PHF20","PHF20","PHD finger protein 20","protein_coding","20","35772014","2120","20q11.22-q11.23"
"PHF20L1","PHF20L1","PHD finger protein 20 like 1","protein_coding","8","132775357","3583","8q24.22"
"PHF21A","PHF21A","PHD finger protein 21A","protein_coding","11","45929318","6562","11p11.2"
"PHF23","PHF23","PHD finger protein 23","protein_coding","17","7235037","1959","17p13.1"
"PHF3","PHF3","PHD finger protein 3","protein_coding","6","63635801","4403","6q12"
"PHF5A","PHF5A","PHD finger protein 5A","protein_coding","22","41459716","1065","22q13.2"
